id;seccion;edad;pf_ac1;pf_ac2;pf_ac3;pf_alg_2019;pf_alg_2020;alg_1b_2021;alg_2b_2021;alg_3b_2021;alg_4b_2021;ind_nivel_algebra;pf_apm_2019;pf_apm_2020;am_1b_2021;am_2b_2021;am_3b_2021;am_4b_2021;ind_nivel_am;pf_geo_2019;pf_geo_2020;geo_1b_2021;geo_2b_2021;geo_3b_2021;geo_4b_2021;ind_nivel_geo;grupo_mate;genero;anios_colegio;condicion_pago;pe1;pe2;pe3;pe4;pe5;horas_asincronas;valoracion_clases;dispos_clases;calidad_internet
248;SC2;14;16;19;20;19;20;18;19;20;20;3;15;15;16;15;15;15;3;16;14;14;18;18;14;3;1;M;4;beca;Facil;Facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
249;SC2;15;17;19;20;20;18;19;18;20;20;3;17;16;15;17;17;16;3;19;19;15;18;19;19;3;1;F;3;beca;Muy facil;Facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
250;SC2;15;16;19;20;19;18;20;18;19;20;3;19;16;18;18;19;16;3;17;15;15;15;17;15;3;1;M;3;beca;Facil;Muy facil;Muy facil;Facil;Excelente;3 horas;Muy satisfecho;4;Muy buena
251;SC2;15;17;20;20;20;19;19;19;20;20;3;17;19;18;18;20;17;3;16;17;16;17;20;16;3;1;F;3;beca;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;1;Muy buena
252;SC2;15;17;20;20;19;19;19;19;20;20;3;20;20;18;20;20;20;3;19;19;16;17;19;19;3;1;M;3;beca;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
253;SC2;14;14;19;20;19;17;18;17;20;20;3;14;13;15;13;13;13;2;15;15;13;16;15;17;3;1;M;4;beca;Facil;Facil;Muy facil;Facil;Bueno;3 horas;Satisfecho;2;Buena
254;SC2;14;16;19;20;18;20;19;18;20;20;3;17;16;17;17;18;16;3;15;15;15;17;18;16;3;1;M;3;beca;Facil;Muy facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;1;Muy buena
255;SC2;15;17;20;20;19;19;18;20;20;20;3;16;16;16;18;17;18;3;11;11;17;17;11;16;2;1;F;4;beca;Ni facil ni dificil;Facil;Muy facil;Ni facil ni dificil;Bueno;3 horas;Satisfecho;2;Buena
256;SC2;14;17;20;20;20;20;19;19;20;20;3;16;15;15;16;18;18;3;19;16;15;18;20;20;3;1;M;4;beca;Muy facil;Facil;Muy facil;Muy facil;Excelente;3 horas;Muy satisfecho;4;Muy buena
257;SC2;14;16;20;20;20;20;18;18;20;20;3;18;17;16;17;19;18;3;14;17;14;17;17;17;3;1;M;4;beca;Facil;Muy facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
258;SC2;14;17;19;20;19;19;19;19;20;20;3;15;17;17;16;17;13;3;15;18;15;18;19;19;3;1;M;3;beca;Muy facil;Facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
259;SC2;14;18;20;20;18;18;18;18;20;20;3;16;13;18;19;10;19;3;20;17;16;18;20;20;3;1;F;3;beca;Muy facil;Facil;Muy facil;Muy facil;Excelente;2 horas;Muy satisfecho;1;Muy buena
260;SC2;14;18;20;20;19;20;20;19;20;20;3;20;17;16;15;20;20;3;17;17;15;18;20;20;3;1;F;3;beca;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
261;SC2;14;17;20;20;20;20;20;19;20;20;3;18;17;16;19;20;19;3;18;20;16;18;20;20;3;1;F;4;beca;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
262;SC2;14;16;20;20;20;20;20;19;20;20;3;17;17;17;19;17;17;3;14;16;15;17;14;16;3;1;M;4;beca;Facil;Muy facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
263;SC2;14;17;20;20;20;20;20;20;20;20;3;18;18;18;18;19;18;3;18;18;17;18;19;18;3;1;M;3;beca;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;3 horas;Muy satisfecho;1;Muy buena
264;SC2;15;16;18;20;19;19;19;19;19;20;3;15;17;17;13;15;16;3;15;14;14;16;15;17;3;1;M;4;beca;Facil;Facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;1;Muy buena
